"player_key","athlete_name","season","position","games","overall","round","pick","height","weight","pre_draft_ranking","pre_draft_position_ranking","pre_draft_grade","fumbles_rec_pg","fumbles_lost_pg","fumbles_fum_pg","interceptions_td_pg","interceptions_yds_pg","interceptions_int_pg","rushing_long","rushing_td_pg","rushing_yds_pg","rushing_car_pg","passing_int_pg","passing_td_pg","passing_yds_pg","passing_completions_pg","passing_attempts_pg","passing_avg","rushing_avg","passing_qbr","athlete_id","nfl_player_id","nfl_name","nfl_rookie_season","avg_weekly_ppr","n_weeks"
"adrian martinez","Adrian Martinez",2022,"QB",9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.25,1.25,NA,NA,NA,69,1.11111111111111,68.3333333333333,12.1111111111111,0.111111111111111,0.666666666666667,140.111111111111,13.1111111111111,20.4444444444444,6.85326086956522,5.64220183486239,59.1222222222222,4361182,"00-0038658","Adrian Martinez",2025,-0.1,1
"aidan o connell","Aidan O'Connell",2022,"QB",12,135,4,33,75,213,192,10,49,0,0.5,1.5,NA,NA,NA,24,0.0909090909090909,-7.36363636363636,3.90909090909091,1.08333333333333,1.83333333333333,290.083333333333,26.5833333333333,41.4166666666667,7.00402414486922,-1.88372093023256,66.8,4260394,"00-0038579","Aidan O'Connell",2023,11.4381818181818,11
"aj mccarron","AJ McCarron",2013,"QB",12,164,5,24,75,220,60,5,78,NA,NA,NA,NA,NA,NA,15,0,2.33333333333333,2.66666666666667,0.416666666666667,2.16666666666667,223,17.25,25.5,8.74509803921569,0.875,77.3333333333333,480215,"00-0031288","AJ McCarron",2015,8.08,8
"andrew luck","Andrew Luck",2011,"QB",12,1,1,1,76,234,1,1,99,NA,NA,NA,NA,NA,NA,17,0.166666666666667,12.75,3.58333333333333,0.75,2.91666666666667,264.166666666667,21.75,31.0833333333333,8.49865951742627,3.55813953488372,77.6916666666667,380470,"00-0029668","Andrew Luck",2012,16.9105882352941,17
"andy dalton","Andy Dalton",2010,"QB",12,35,2,3,74,215,40,4,86,NA,NA,NA,NA,NA,NA,47,0.416666666666667,33.9166666666667,6.41666666666667,0.5,2.16666666666667,219.833333333333,16.1666666666667,24.4166666666667,9.00341296928328,5.28571428571428,79.6583333333333,183253,"00-0027973","Andy Dalton",2011,12.5352941176471,17
"anthony brown","Anthony Brown",2021,"QB",13,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1.33333333333333,NA,NA,NA,43,0.692307692307692,49,10.9230769230769,0.461538461538462,1.15384615384615,206.384615384615,17.1538461538462,26.9230769230769,7.66571428571429,4.48591549295775,63.6538461538462,4035312,"00-0037175","Anthony Brown",2022,2.79,2
"anthony richardson","Anthony Richardson",2022,"QB",12,4,1,4,76,244,10,3,91,0,0.666666666666667,1,NA,NA,NA,81,0.75,54.5,8.58333333333333,0.75,1.41666666666667,212.416666666667,14.6666666666667,27.25,7.79510703363914,6.3495145631068,67.775,4429084,"00-0039164","Anthony Richardson",2023,18.17,4
"austin davis","Austin Davis",2011,"QB",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,0.307692307692308,25.5384615384615,7.76923076923077,0.846153846153846,2.15384615384615,256.230769230769,20.6153846153846,33.3846153846154,7.67511520737327,3.28712871287129,65.0923076923077,237729,"00-0028957","Austin Davis",2014,11.96,9
"bailey zappe","Bailey Zappe",2021,"QB",13,137,4,32,73,215,161,7,59,0,0.5,1,NA,NA,NA,21,0.230769230769231,1.69230769230769,3.76923076923077,0.846153846153846,4.30769230769231,426.538461538462,34,49.1538461538462,8.67762128325509,0.448979591836735,76.2923076923077,4250360,"00-0038108","Bailey Zappe",2022,9.91,4
"baker mayfield","Baker Mayfield",2017,"QB",13,1,1,1,73,215,11,4,91,0,0,1,NA,NA,NA,54,0.384615384615385,23.8461538461538,6.53846153846154,0.384615384615385,3.15384615384615,333.846153846154,20.1538461538462,28.3846153846154,11.7615176151762,3.64705882352941,89.2818181818182,550373,"00-0034855","Baker Mayfield",2018,17.15,14
