"player_key","athlete_name","season","position","games","overall","round","pick","height","weight","pre_draft_ranking","pre_draft_position_ranking","pre_draft_grade","fumbles_rec_pg","fumbles_lost_pg","fumbles_fum_pg","interceptions_td_pg","interceptions_yds_pg","interceptions_int_pg","rushing_long","rushing_td_pg","rushing_yds_pg","rushing_car_pg","passing_int_pg","passing_td_pg","passing_yds_pg","passing_completions_pg","passing_attempts_pg","passing_avg","rushing_avg","passing_qbr","athlete_id","nfl_player_id","nfl_name","nfl_rookie_season","avg_weekly_ppr","n_weeks"
"a j duffy","A.J. Duffy",2025,"QB",10,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,40,0.4,21.8,4.4,1,2.2,234.7,19.7,33.4,7.02694610778443,4.95454545454545,NA,4685334,NA,NA,NA,NA,NA
"aaron philo","Aaron Philo",2025,"QB",2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,12,0,9.5,2,1,1,373,21,28,13.3214285714286,4.75,75.9,5132812,NA,NA,NA,NA,NA
"abram johnston","Abram Johnston",2025,"QB",11,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1.25,NA,NA,NA,29,0.363636363636364,27.1818181818182,10.8181818181818,0.818181818181818,0.636363636363636,101.909090909091,10.5454545454545,19.3636363636364,5.26291079812207,2.51260504201681,NA,5226585,NA,NA,NA,NA,NA
"achilles ringo","Achilles Ringo",2025,"QB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,NA,5300386,NA,NA,NA,NA,NA
"adam damante","Adam Damante",2025,"QB",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,NA,NA,NA,13,0.333333333333333,-5,5.33333333333333,1,1.25,177.75,17.5,26,6.83653846153846,-0.9375,32.95,5152503,NA,NA,NA,NA,NA
"adam urena","Adam Urena",2025,"QB",11,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,1,NA,NA,NA,10,0,-10.5,4.4,0.909090909090909,1.18181818181818,218.272727272727,21.5454545454545,33.5454545454545,6.50677506775068,-2.38636363636364,NA,5227565,NA,NA,NA,NA,NA
"adrian mejia","Adrian Mejia",2025,"QB",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,21,0,19.6666666666667,4.66666666666667,1,1,105,7,12,8.75,4.21428571428571,NA,5088339,NA,NA,NA,NA,NA
"aidan armenta","Aidan Armenta",2025,"QB",11,NA,NA,NA,NA,NA,NA,NA,NA,0,0.666666666666667,1.33333333333333,NA,NA,NA,32,0.181818181818182,5.45454545454545,5.45454545454545,0.727272727272727,1.09090909090909,147.181818181818,13.3636363636364,22.9090909090909,6.42460317460317,1,31.9272727272727,5122054,NA,NA,NA,NA,NA
"aidan bouman","Aidan Bouman",2025,"QB",12,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,17,0,-11,2.55555555555556,0.416666666666667,1.75,191.416666666667,14.6666666666667,23.5833333333333,8.11660777385159,-4.30434782608696,NA,4429179,NA,NA,NA,NA,NA
"aidan chiles","Aidan Chiles",2025,"QB",8,NA,NA,NA,NA,NA,NA,NA,NA,0,0.75,1.25,NA,NA,NA,64,0.75,28.375,10.125,0.375,1.25,174,16,25.375,6.85714285714286,2.80246913580247,61.0142857142857,5075805,NA,NA,NA,NA,NA
"aidan leffler","Aidan Leffler",2025,"QB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,NA,0.2,5091564,NA,NA,NA,NA,NA
"aidan semo","Aidan Semo",2025,"QB",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0.666666666666667,10.3333333333333,3.44444444444444,0,0.25,19.5,1.5,2.25,8.66666666666667,3,NA,5082909,NA,NA,NA,NA,NA
"aiden dunne","Aiden Dunne",2025,"QB",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,0,13,1.33333333333333,3.66666666666667,3.54545454545455,NA,NA,4878833,NA,NA,NA,NA,NA
"aiden mccown","Aiden McCown",2025,"QB",11,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,1,NA,NA,NA,23,0.363636363636364,20.4545454545455,6.90909090909091,0.545454545454545,0.909090909090909,130.545454545455,10.1818181818182,17.6363636363636,7.4020618556701,2.96052631578947,NA,5154911,NA,NA,NA,NA,NA
"air noland","Air Noland",2025,"QB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,4,1,0,0,13,2,3,4.33333333333333,4,95,5079548,NA,NA,NA,NA,NA
"aj bianco","AJ Bianco",2025,"QB",7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,12,0,1.66666666666667,2.16666666666667,0.166666666666667,0.166666666666667,31.3333333333333,4.5,7.5,4.17777777777778,0.769230769230769,23.1666666666667,4819250,NA,NA,NA,NA,NA
"aj hairston","AJ Hairston",2025,"QB",10,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,23,0,0.3,4.3,0.4,0.4,95.7,10.7,21.6,4.43055555555556,0.0697674418604651,29.23,5146355,NA,NA,NA,NA,NA
"aj hill","AJ Hill",2025,"QB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,175,13,25,7,NA,21.3,5141473,NA,NA,NA,NA,NA
"aj maddox","AJ Maddox",2025,"QB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,8,1,0,0,19,1,1,19,8,82.9,5084295,NA,NA,NA,NA,NA
"aj simpkins","AJ Simpkins",2025,"QB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,5083410,NA,NA,NA,NA,NA
"aj surace","AJ Surace",2025,"QB",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-5,2,0,1,29,2,4.5,6.44444444444444,-2.5,37.3,5079717,NA,NA,NA,NA,NA
"aj swann","AJ Swann",2025,"QB",7,NA,NA,NA,NA,NA,NA,NA,NA,0,0.333333333333333,1.33333333333333,NA,NA,NA,19,0,-2,3.33333333333333,1.14285714285714,1.42857142857143,213.428571428571,18.5714285714286,31.7142857142857,6.72972972972973,-0.6,38.2142857142857,5081405,NA,NA,NA,NA,NA
"alberto mendoza","Alberto Mendoza",2025,"QB",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,0.166666666666667,30.6666666666667,1.83333333333333,0.166666666666667,0.833333333333333,47.6666666666667,3,4,11.9166666666667,16.7272727272727,93.3,5191162,NA,NA,NA,NA,NA
"aleks sitkowski","Aleks Sitkowski",2025,"QB",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,11.5,2,5.5,2.09090909090909,NA,NA,5225476,NA,NA,NA,NA,NA
"alessio milivojevic","Alessio Milivojevic",2025,"QB",9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,1,NA,NA,NA,16,0.125,-7.375,3.875,0.333333333333333,1.11111111111111,140.777777777778,12.3333333333333,19.2222222222222,7.32369942196532,-1.90322580645161,55.0888888888889,5146670,NA,NA,NA,NA,NA
"alex flores","Alex Flores",2025,"QB",5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,9,0,2,2,0,0,26,2.2,4.2,6.19047619047619,1,NA,5226365,NA,NA,NA,NA,NA
"alex gevaudan","Alex Gevaudan",2025,"QB",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,0.166666666666667,41,3.83333333333333,6.33333333333333,6.47368421052632,NA,NA,5227557,NA,NA,NA,NA,NA
"alex manske","Alex Manske",2025,"QB",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0.333333333333333,11,2.33333333333333,0,0,28,4,5,5.6,4.71428571428571,91,5164316,NA,NA,NA,NA,NA
"alex mcclelland","Alex McClelland",2025,"QB",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,0.25,6,1.25,NA,NA,NA,NA,NA,NA,4.8,NA,5226812,NA,NA,NA,NA,NA
"alex orji","Alex Orji",2025,"QB",2,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,11,0.333333333333333,14,3.33333333333333,0,0,37,3,3,12.3333333333333,4.2,96.6,4685495,NA,NA,NA,NA,NA
"alonza barnett","Alonza Barnett",2025,"QB",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,58,1.08333333333333,38.25,8.58333333333333,0.583333333333333,1.66666666666667,203.333333333333,15.25,24.75,8.21548821548822,4.45631067961165,60.5916666666667,4911929,NA,NA,NA,NA,NA
"amari jones","Amari Jones",2025,"QB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,3,1,NA,NA,NA,NA,NA,NA,3,NA,4837469,NA,NA,NA,NA,NA
"amari odom","Amari Odom",2025,"QB",10,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,1.25,NA,NA,NA,24,0.7,37.9,9.7,0.6,1.7,213.9,14.5,22.4,9.54910714285714,3.90721649484536,59.98,5153782,NA,NA,NA,NA,NA
"amari powell","Amari Powell",2025,"QB",5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,30,0.5,27.25,4.75,0.4,1,127.2,7,11.8,10.7796610169492,5.73684210526316,NA,5088992,NA,NA,NA,NA,NA
"ameer dudley","Ameer Dudley",2025,"QB",4,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,13,0,13.75,3.5,0,0,15.5,1,3.25,4.76923076923077,3.92857142857143,NA,4878229,NA,NA,NA,NA,NA
"andre washington","Andre Washington",2025,"QB",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,22,0,6.4,1.8,0,0,3,0.8,1.8,1.66666666666667,3.55555555555556,NA,5095245,NA,NA,NA,NA,NA
"andrew body","Andrew Body",2025,"QB",8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1.33333333333333,NA,NA,NA,60,0.5,64.75,8.875,0.125,2.5,221.25,14.125,20,11.0625,7.29577464788732,NA,4887151,NA,NA,NA,NA,NA
"andrew frazier","Andrew Frazier",2025,"QB",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,0,14.8888888888889,2.66666666666667,0,0,-2,1,1,-2,5.58333333333333,NA,5152328,NA,NA,NA,NA,NA
"andrew indorf","Andrew Indorf",2025,"QB",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1.33333333333333,NA,NA,NA,16,0,9.08333333333333,6.08333333333333,0.333333333333333,1.33333333333333,195.333333333333,15.5833333333333,26.1666666666667,7.46496815286624,1.49315068493151,NA,5301657,NA,NA,NA,NA,NA
"andy peters","Andy Peters",2025,"QB",10,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,1.2,NA,NA,NA,53,0.6,35.8,10.4,0.5,1.7,206.1,15,23.1,8.92207792207792,3.44230769230769,NA,4686848,NA,NA,NA,NA,NA
"angel h flores","Angel H Flores",2025,"QB",8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,37,1,64.875,12.875,0,0.25,24.375,2.375,3.375,7.22222222222222,5.03883495145631,56.3375,5084769,NA,NA,NA,NA,NA
"anthony benzija","Anthony Benzija",2025,"QB",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5161149,NA,NA,NA,NA,NA
"anthony budak","Anthony Budak",2025,"QB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-5,1,NA,NA,NA,NA,NA,NA,-5,NA,5227569,NA,NA,NA,NA,NA
"anthony colandrea","Anthony Colandrea",2025,"QB",11,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,1.5,NA,NA,NA,37,0.666666666666667,46.3333333333333,8.83333333333333,0.666666666666667,1.83333333333333,254.166666666667,19.8333333333333,29.0833333333333,8.73925501432665,5.24528301886792,68.7416666666667,5044387,NA,NA,NA,NA,NA
"anthony garcia","Anthony Garcia",2025,"QB",11,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,17,0.142857142857143,9.85714285714286,1.42857142857143,0,0.666666666666667,13.1666666666667,1,1.16666666666667,11.2857142857143,6.9,74.35,5151339,NA,NA,NA,NA,NA
"anthony grigsby jr","Anthony Grigsby Jr.",2025,"QB",5,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,1,NA,NA,NA,15,0.4,8.6,6.6,0.8,1.2,154.8,8.8,16.4,9.4390243902439,1.3030303030303,NA,5219586,NA,NA,NA,NA,NA
"antwon mckay jr","Antwon McKay Jr.",2025,"QB",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,7,4,0,1,14,1,1,14,1.75,NA,5226319,NA,NA,NA,NA,NA
"arch manning","Arch Manning",2025,"QB",12,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,36,0.666666666666667,20.3333333333333,6.91666666666667,0.583333333333333,2,245.166666666667,18.9166666666667,30.8333333333333,7.95135135135135,2.93975903614458,68.175,4870906,NA,NA,NA,NA,NA
"ari patu","Ari Patu",2025,"QB",7,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1.5,NA,NA,NA,25,0.166666666666667,22.1666666666667,7.33333333333333,0.666666666666667,0.833333333333333,86.1666666666667,8,15.8333333333333,5.4421052631579,3.02272727272727,NA,4592531,NA,NA,NA,NA,NA
"arrington maiden","Arrington Maiden",2025,"QB",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0.2,13.6,2,0,0,19.6666666666667,1.66666666666667,2.66666666666667,7.375,6.8,56.6333333333333,5147757,NA,NA,NA,NA,NA
"asher weiner","Asher Weiner",2025,"QB",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0.428571428571429,6.28571428571429,2.14285714285714,0,0,2,1,1,2,2.93333333333333,NA,5079735,NA,NA,NA,NA,NA
"ashley tucker jr","Ashley Tucker Jr.",2025,"QB",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,7,1,0.5,0,0,0,2,0,7,NA,5103239,NA,NA,NA,NA,NA
"ashten snelsire","Ashten Snelsire",2025,"QB",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,0.375,23.5,6.625,0.625,1,106,7.25,13.875,7.63963963963964,3.54716981132075,NA,5083373,NA,NA,NA,NA,NA
"ashton daniels","Ashton Daniels",2025,"QB",4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,26,0.5,70,15.75,0.5,0.75,199.25,17,29.75,6.69747899159664,4.44444444444444,63,4838679,NA,NA,NA,NA,NA
"ashton frye","Ashton Frye",2025,"QB",3,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,NA,NA,NA,25,0.333333333333333,13.3333333333333,4.33333333333333,0,0.333333333333333,47.3333333333333,5.66666666666667,8.66666666666667,5.46153846153846,3.07692307692308,NA,5085259,NA,NA,NA,NA,NA
"athan kaliakmanis","Athan Kaliakmanis",2025,"QB",12,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,1,NA,NA,NA,15,0.333333333333333,-2.16666666666667,8,0.583333333333333,1.66666666666667,260.333333333333,19.0833333333333,30.6666666666667,8.48913043478261,-0.270833333333333,59.8916666666667,4432722,NA,NA,NA,NA,NA
"au tori newkirk","Au'Tori Newkirk",2025,"QB",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0,13,1,0.5,0.5,11.5,1.5,3,3.83333333333333,13,48.65,5213239,NA,NA,NA,NA,NA
"austen frattura","Austen Frattura",2025,"QB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,0,19,2,NA,NA,NA,NA,NA,NA,9.5,NA,5157386,NA,NA,NA,NA,NA
"austin carlisle","Austin Carlisle",2025,"QB",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,0,19,2,NA,NA,NA,NA,NA,NA,9.5,NA,5207934,NA,NA,NA,NA,NA
"austin mack","Austin Mack",2025,"QB",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0.5,15,2,0,0.666666666666667,41.6666666666667,4.33333333333333,5.33333333333333,7.8125,7.5,63.1,5079508,NA,NA,NA,NA,NA
"austin myers","Austin Myers",2025,"QB",7,NA,NA,NA,NA,NA,NA,NA,NA,0,0.25,1,NA,NA,NA,6,0,-11.2857142857143,2.85714285714286,1,1.85714285714286,228.142857142857,17.7142857142857,31,7.35944700460829,-3.95,NA,5085356,NA,NA,NA,NA,NA
"austin novosad","Austin Novosad",2025,"QB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,40,1,2,20,NA,96.2,4912647,NA,NA,NA,NA,NA
"austin simmons","Austin Simmons",2025,"QB",5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,14,0.25,19.25,5,1,0.8,136,8.2,14,9.71428571428571,3.85,50.64,5141684,NA,NA,NA,NA,NA
"austin smith","Austin Smith",2025,"QB",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,0.333333333333333,19.6666666666667,3,0,0.666666666666667,52.6666666666667,4,6,8.77777777777778,6.55555555555556,NA,4597247,NA,NA,NA,NA,NA
"aveon smith","Aveon Smith",2025,"QB",10,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1.5,NA,NA,NA,29,0.111111111111111,26.6666666666667,5.66666666666667,0.375,0.125,14.875,1.125,3,4.95833333333333,4.70588235294118,NA,4576189,NA,NA,NA,NA,NA
"avery johnson","Avery Johnson",2025,"QB",11,NA,NA,NA,NA,NA,NA,NA,NA,0,0.25,1,NA,NA,NA,58,0.666666666666667,39.75,9.08333333333333,0.5,1.5,198.333333333333,17,28.4166666666667,6.97947214076246,4.37614678899082,66.275,4870857,NA,NA,NA,NA,NA
