"player_key","athlete_name","season","position","games","overall","round","pick","height","weight","pre_draft_ranking","pre_draft_position_ranking","pre_draft_grade","fumbles_rec_pg","fumbles_lost_pg","fumbles_fum_pg","interceptions_td_pg","interceptions_yds_pg","interceptions_int_pg","receiving_td_pg","receiving_yds_pg","receiving_rec_pg","rushing_td_pg","rushing_yds_pg","rushing_car_pg","receiving_long","rushing_long","receiving_avg","rushing_avg","nfl_player_id","nfl_name","nfl_rookie_season","avg_weekly_ppr","n_weeks"
"aaron jones","Aaron Jones",2016,"RB",12,182,5,39,70,208,300,29,36,0,0,1.5,NA,NA,NA,0.3,23.3,2.8,1.41666666666667,147.75,19.0833333333333,42,83,8.32142857142857,7.74235807860262,"00-0033293","Aaron Jones",2017,8,10
"adrian killins jr","Adrian Killins Jr.",2019,"RB",12,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,1,NA,NA,NA,0.25,30,2,0.583333333333333,52.4166666666667,7.25,74,75,15,7.22988505747126,"00-0036000","Adrian Killins Jr.",2020,0,1
"aj dillon","AJ Dillon",2019,"RB",12,62,2,30,72,247,90,8,71,0,0.333333333333333,1,NA,NA,NA,0.111111111111111,21.6666666666667,1.44444444444444,1.16666666666667,140.416666666667,26.5,42,61,15,5.29874213836478,"00-0036265","AJ Dillon",2020,4.27272727272727,11
"akeem hunt","Akeem Hunt",2014,"RB",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,24.4166666666667,4,0.5,79.0833333333333,14.4166666666667,79,82,6.10416666666667,5.48554913294798,"00-0031743","Akeem Hunt",2015,2.4375,8
"alex collins","Alex Collins",2015,"RB",12,171,5,32,70,217,119,9,67,NA,NA,NA,NA,NA,NA,0,11.875,1.625,1.41666666666667,116,20.6666666666667,31,80,7.30769230769231,5.61290322580645,"00-0032426","Alex Collins",2016,4.03636363636364,11
"alex green","Alex Green",2010,"RB",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0909090909090909,31.1818181818182,2.36363636363636,1.30769230769231,89.8461538461538,10.2307692307692,66,71,13.1923076923077,8.78195488721805,"00-0028034","Alex Green",2011,1.35,2
"alexander mattison","Alexander Mattison",2018,"RB",13,102,3,38,71,221,116,7,69,NA,NA,NA,NA,NA,NA,0,15.7272727272727,2.45454545454545,1.30769230769231,108.615384615385,23.2307692307692,23,59,6.40740740740741,4.67549668874172,"00-0034972","Alexander Mattison",2019,4.84666666666667,15
"alfred blue","Alfred Blue",2013,"RB",12,181,6,5,74,223,298,26,33,NA,NA,NA,NA,NA,NA,0,15,1.33333333333333,0.0909090909090909,28.8181818181818,5.81818181818182,22,17,11.25,4.953125,"00-0031075","Alfred Blue",2014,6.44375,16
"alfred morris","Alfred Morris",2011,"RB",11,173,6,3,70,219,NA,22,34,NA,NA,NA,NA,NA,NA,0.166666666666667,22.1666666666667,2.33333333333333,0.818181818181818,101.272727272727,19.4545454545455,31,48,9.5,5.20560747663551,"00-0029141","Alfred Morris",2012,15.2941176470588,17
"alonzo harris","Alonzo Harris",2014,"RB",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6.2,1.2,1.09090909090909,67,14.4545454545455,14,54,5.16666666666667,4.63522012578616,"00-0031830","Alonzo Harris",2015,0.633333333333333,3
"alvin kamara","Alvin Kamara",2016,"RB",10,67,3,3,70,214,40,4,86,0,0.666666666666667,1.66666666666667,NA,NA,NA,0.444444444444444,38.4444444444444,3.66666666666667,0.9,56.5,9.6,53,39,10.4848484848485,5.88541666666667,"00-0033906","Alvin Kamara",2017,19.5111111111111,18
"amar johnson","Amar Johnson",2024,"RB",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0909090909090909,17,2.36363636363636,1.08333333333333,75.8333333333333,12,26,44,7.19230769230769,6.31944444444444,"00-0040039","Amar Johnson",2025,0.8,1
"ameer abdullah","Ameer Abdullah",2014,"RB",12,54,2,22,69,205,44,3,85,NA,NA,NA,NA,NA,NA,0.375,26,2,1.5,126.916666666667,19.75,58,57,13,6.42616033755274,"00-0032104","Ameer Abdullah",2015,7.3125,16
