"player_key","athlete_name","season","position","games","overall","round","pick","height","weight","pre_draft_ranking","pre_draft_position_ranking","pre_draft_grade","fumbles_rec_pg","fumbles_lost_pg","fumbles_fum_pg","interceptions_td_pg","interceptions_yds_pg","interceptions_int_pg","receiving_td_pg","receiving_yds_pg","receiving_rec_pg","rushing_td_pg","rushing_yds_pg","rushing_car_pg","receiving_long","rushing_long","receiving_avg","rushing_avg","nfl_player_id","nfl_name","nfl_rookie_season","avg_weekly_ppr","n_weeks"
"a j turner","A.J. Turner",2025,"RB",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,21.3333333333333,5.33333333333333,NA,11,NA,4,NA,NA,NA,NA,NA
"a marion peterson","A'Marion Peterson",2025,"RB",9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,0,7,2,0.222222222222222,15.4444444444444,4.55555555555556,7,14,3.5,3.39024390243902,NA,NA,NA,NA,NA
"aaron crossley","Aaron Crossley",2025,"RB",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.181818181818182,10.6363636363636,3.63636363636364,NA,12,NA,2.925,NA,NA,NA,NA,NA
"abu sama iii","Abu Sama III",2025,"RB",11,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,1,NA,NA,NA,0,6.33333333333333,1.66666666666667,0.416666666666667,61,11.75,5,44,3.8,5.19148936170213,NA,NA,NA,NA,NA
"ac walters","AC Walters",2025,"RB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adam hill","Adam Hill",2025,"RB",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,0,1,1,0,40,7.5,1,36,1,5.33333333333333,NA,NA,NA,NA,NA
"adam jones","Adam Jones",2025,"RB",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111111111111111,22.7777777777778,2.77777777777778,0.833333333333333,57.9166666666667,10.4166666666667,17,44,8.2,5.56,NA,NA,NA,NA,NA
"adam mohammed","Adam Mohammed",2025,"RB",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,13.0909090909091,1.45454545454545,0.416666666666667,43.0833333333333,8.66666666666667,33,25,9,4.97115384615385,NA,NA,NA,NA,NA
"adam randall","Adam Randall",2025,"RB",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,0.272727272727273,22.3636363636364,2.81818181818182,0.75,64.9166666666667,13.0833333333333,35,46,7.93548387096774,4.96178343949045,NA,NA,NA,NA,NA
"addai lewellen","Addai Lewellen",2025,"RB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aden self","Aden Self",2025,"RB",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adrian murdaugh","Adrian Murdaugh",2025,"RB",3,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,0,7,2,NA,6,NA,3.5,NA,NA,NA,NA,NA
"agyeman addae","Agyeman Addae",2025,"RB",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,35,3.5,0,12.5,3,20,20,10,4.16666666666667,NA,NA,NA,NA,NA
"ahmad hardy","Ahmad Hardy",2025,"RB",12,NA,NA,NA,NA,NA,NA,NA,NA,0,0.333333333333333,1,NA,NA,NA,0,4.4,1.2,1.33333333333333,130,20.0833333333333,11,72,3.66666666666667,6.47302904564315,NA,NA,NA,NA,NA
"ahmad miller","Ahmad Miller",2025,"RB",11,261,7,50,NA,306,NA,NA,NA,0,1,1,NA,NA,NA,0,5.2,1,0.363636363636364,91.6363636363636,13.6363636363636,15,76,5.2,6.72,NA,NA,NA,NA,NA
"aidan garrett","Aidan Garrett",2025,"RB",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,1,0.5,38.25,8.25,13,62,12,4.63636363636364,NA,NA,NA,NA,NA
