"player_key","athlete_name","season","position","games","overall","round","pick","height","weight","pre_draft_ranking","pre_draft_position_ranking","pre_draft_grade","fumbles_rec_pg","fumbles_lost_pg","fumbles_fum_pg","interceptions_td_pg","interceptions_yds_pg","interceptions_int_pg","receiving_td_pg","receiving_yds_pg","receiving_rec_pg","rushing_td_pg","rushing_yds_pg","rushing_car_pg","receiving_long","rushing_long","receiving_avg","rushing_avg","nfl_player_id","nfl_name","nfl_rookie_season","avg_weekly_ppr","n_weeks"
"aaron hernandez","Aaron Hernandez",2009,"TE",12,113,4,15,74,245,85,5,73,NA,NA,NA,NA,NA,NA,0.333333333333333,61.5833333333333,4.91666666666667,0,16,1,64,16,12.5254237288136,16,"00-0027713","Aaron Hernandez",2010,9.56,15
"adrien robinson","Adrien Robinson",2011,"TE",8,127,4,32,76,267,196,7,47,NA,NA,NA,NA,NA,NA,0.375,20.875,1,NA,NA,NA,72,NA,20.875,NA,"00-0029281","Adrien Robinson",2014,1.77777777777778,9
"alan cross","Alan Cross",2015,"TE",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,25.4444444444444,2.66666666666667,NA,NA,NA,38,NA,9.54166666666667,NA,"00-0032745","Alan Cross",2016,1.43636363636364,11
"albert okwuegbunam","Albert Okwuegbunam",2019,"TE",9,118,4,12,78,258,97,6,70,NA,NA,NA,NA,NA,NA,0.666666666666667,34,2.88888888888889,NA,NA,NA,36,NA,11.7692307692308,NA,"00-0036423","Albert Okwuegbunam",2020,7.275,4
"alex bayer","Alex Bayer",2013,"TE",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,34.3333333333333,2.25,NA,NA,NA,57,NA,15.2592592592593,NA,"00-0030975","Alex Bayer",2014,0,1
"alex ellis","Alex Ellis",2015,"TE",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10.75,1.25,NA,NA,NA,24,NA,8.6,NA,"00-0032864","Alex Ellis",2016,0.82,5
"allen reisner","Allen Reisner",2010,"TE",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,34.1666666666667,3.25,NA,NA,NA,55,NA,10.5128205128205,NA,"00-0028267","Allen Reisner",2011,0.75,2
"andrew quarless","Andrew Quarless",2009,"TE",12,154,5,23,76,254,NA,12,57,NA,NA,NA,NA,NA,NA,0.25,37.3333333333333,2.75,NA,NA,NA,60,NA,13.5757575757576,NA,"00-0027753","Andrew Quarless",2010,3.65,16
"anthony mccoy","Anthony McCoy",2009,"TE",10,185,6,16,77,259,68,4,77,NA,NA,NA,NA,NA,NA,0.1,45.7,2.2,0,2,1,60,2,20.7727272727273,2,"00-0027783","Anthony McCoy",2010,0,2
"asante cleveland","Asante Cleveland",2013,"TE",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,11.5,1.5,NA,NA,NA,10,NA,7.66666666666667,NA,"00-0030832","Asante Cleveland",2014,0,1
