"player_key","athlete_name","season","position","games","overall","round","pick","height","weight","pre_draft_ranking","pre_draft_position_ranking","pre_draft_grade","fumbles_rec_pg","fumbles_lost_pg","fumbles_fum_pg","interceptions_td_pg","interceptions_yds_pg","interceptions_int_pg","receiving_td_pg","receiving_yds_pg","receiving_rec_pg","rushing_td_pg","rushing_yds_pg","rushing_car_pg","receiving_long","rushing_long","receiving_avg","rushing_avg","nfl_player_id","nfl_name","nfl_rookie_season","avg_weekly_ppr","n_weeks"
"aaron hopkins","Aaron Hopkins",2025,"TE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"achilles whitby","Achilles Whitby",2025,"TE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,1,NA,NA,NA,6,NA,6,NA,NA,NA,NA,NA,NA
"adam howanitz","Adam Howanitz",2025,"TE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adam parks","Adam Parks",2025,"TE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,1,NA,NA,NA,7,NA,7,NA,NA,NA,NA,NA,NA
"addison ostrenga","Addison Ostrenga",2025,"TE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,1,NA,NA,NA,8,NA,8,NA,NA,NA,NA,NA,NA
"ademola faleye","Ademola Faleye",2025,"TE",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,7.66666666666667,1.33333333333333,NA,NA,NA,10,NA,5.75,NA,NA,NA,NA,NA,NA
"adyn wilkinson","Adyn Wilkinson",2025,"TE",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,13.5,1.66666666666667,0,21,1,29,21,8.1,21,NA,NA,NA,NA,NA
"ahmon green","Ahmon Green",2025,"TE",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,18.4444444444444,1.77777777777778,NA,NA,NA,29,NA,10.375,NA,NA,NA,NA,NA,NA
"aidan behymer","Aidan Behymer",2025,"TE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,1,NA,NA,NA,5,NA,5,NA,NA,NA,NA,NA,NA
"aidan quinn","Aidan Quinn",2025,"TE",11,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,0.1,13.9,1.2,0,28,1,38,28,11.5833333333333,28,NA,NA,NA,NA,NA
