player_key,nfl_player_id,nfl_name,nfl_rookie_season,cfb_projected_ppr,avg_weekly_ppr,n_weeks
adrien robinson,00-0029281,Adrien Robinson,2014,2.493685224039727,1.77777777777778,9
alan cross,00-0032745,Alan Cross,2016,2.2016068292120603,1.43636363636364,11
albert okwuegbunam,00-0036423,Albert Okwuegbunam,2020,4.270483902245224,7.275,4
alex bayer,00-0030975,Alex Bayer,2014,1.3999016818077836,0.0,1
alex ellis,00-0032864,Alex Ellis,2016,1.1860948651417171,0.82,5
allen reisner,00-0028267,Allen Reisner,2011,1.925408686793488,0.75,2
asante cleveland,00-0030832,Asante Cleveland,2014,1.8738549167281204,0.0,1
austin hooper,00-0032392,Austin Hooper,2016,4.10058709297933,5.1625,16
austin seferian jenkins,00-0031418,Austin Seferian-Jenkins,2014,5.558267724036235,5.9,9
austin traylor,00-0033043,Austin Traylor,2017,1.949957689838621,3.6,5
baylor cupp,00-0039316,Baylor Cupp,2024,1.2996745531416503,0.0,1
ben koyack,00-0032139,Ben Koyack,2016,3.012447580608952,4.11,10
ben sims,00-0038809,Ben Sims,2023,1.8215643042476506,1.92857142857143,7
ben sinnott,00-0039912,Ben Sinnott,2024,3.744366111312161,2.1375,8
ben yurosek,00-0040509,Ben Yurosek,2025,1.2972216394884997,0.566666666666667,6
blake bell,00-0032062,Blake Bell,2015,2.9524436194059214,3.73333333333333,9
blake jarwin,00-0033658,Blake Jarwin,2018,1.920084356556818,5.59333333333333,15
blake whiteheart,00-0038710,Blake Whiteheart,2024,2.0186004248396365,2.44285714285714,7
brad smelley,00-0029315,Brad Smelley,2012,2.3547626053127275,1.3,1
braedon bowman,00-0032515,Braedon Bowman,2016,1.0083853710525277,0.0,2
brandon barden,00-0028961,Brandon Barden,2012,1.044653227607508,0.0,1
brandon myers,00-0027135,Brandon Myers,2011,1.681850836883768,1.94375,16
brandon williams,00-0029793,Brandon Williams,2013,1.145786150525868,0.0,1
brayden willis,00-0038643,Brayden Willis,2023,2.2730302409670724,0.0,2
brenden bates,00-0039458,Brenden Bates,2024,1.0774727560033883,0.0,1
brenton strange,00-0038935,Brenton Strange,2023,3.18921301935661,2.07142857142857,7
brevin jordan,00-0036556,Brevin Jordan,2021,5.082678419520675,6.975,8
brevyn spann ford,00-0039530,Brevyn Spann-Ford,2024,1.90476600570109,1.61818181818182,11
brock bowers,00-0039338,Brock Bowers,2024,9.24541662853325,15.4529411764706,17
brock wright,00-0036754,Brock Wright,2021,1.4305926124829809,4.4625,8
brycen hopkins,00-0036424,Brycen Hopkins,2021,4.615653474255937,5.3,2
c j fiedorowicz,00-0031302,C.J. Fiedorowicz,2014,3.203296727866685,1.6,8
c j uzomah,00-0032134,C.J. Uzomah,2015,1.9092908411649323,0.466666666666667,3
cade otton,00-0038129,Cade Otton,2022,3.86667208898435,6.05294117647059,17
cade stover,00-0039359,Cade Stover,2024,3.849289395005409,2.74,15
caleb wilson,00-0035320,Caleb Wilson,2020,3.647042549854299,0.0,1
cameron latu,00-0038564,Cameron Latu,2025,2.4084434929442757,0.0,10
cethan carter,00-0033338,Cethan Carter,2017,1.5964981896214674,0.0,6
charlie kolar,00-0038046,Charlie Kolar,2022,4.963186561374866,8.9,1
charlie woerner,00-0036429,Charlie Woerner,2020,1.81118945088048,1.65,4
chase ford,00-0029432,Chase Ford,2013,1.4019799268818243,3.0375,8
chris gragg,00-0030049,Chris Gragg,2013,4.4520001602190495,8.15,2
chris myarick,00-0035345,Chris Myarick,2021,1.872212642561184,2.675,4
chris pantale,00-0030171,Chris Pantale,2014,1.5634010110274585,0.0,1
clive walford,00-0032256,Clive Walford,2015,5.5307318638092395,5.26,15
coby fleener,00-0029697,Coby Fleener,2012,6.665850249144183,5.50769230769231,13
colby parkinson,00-0036244,Colby Parkinson,2020,3.502253596199527,3.6,1
cole fotheringham,00-0037506,Cole Fotheringham,2023,1.4256398825782761,1.6,1
cole hikutini,00-0033315,Cole Hikutini,2017,1.9986820918041328,1.75,2
cole kmet,00-0036290,Cole Kmet,2020,5.297650778068444,4.1625,16
cole turner,00-0037078,Cole Turner,2022,3.466081894417147,0.614285714285714,7
colin thompson,00-0033720,Colin Thompson,2020,1.730986825695509,3.85,2
