"player_key","athlete_name","season","position","games","overall","round","pick","height","weight","pre_draft_ranking","pre_draft_position_ranking","pre_draft_grade","fumbles_rec_pg","fumbles_lost_pg","fumbles_fum_pg","interceptions_td_pg","interceptions_yds_pg","interceptions_int_pg","receiving_td_pg","receiving_yds_pg","receiving_rec_pg","rushing_td_pg","rushing_yds_pg","rushing_car_pg","receiving_long","rushing_long","receiving_avg","rushing_avg","nfl_player_id","nfl_name","nfl_rookie_season","avg_weekly_ppr","n_weeks"
"a j brown","A.J. Brown",2018,"WR",12,51,2,19,73,226,45,5,85,0,0,1,NA,NA,NA,0.5,112.916666666667,7.08333333333333,NA,NA,NA,84,NA,15.9411764705882,NA,"00-0035676","A.J. Brown",2019,12.0736842105263,19
"a j jenkins","A.J. Jenkins",2011,"WR",12,30,1,30,72,190,62,7,82,NA,NA,NA,NA,NA,NA,0.583333333333333,99.6666666666667,7,0,5,2,77,9,14.2380952380952,2.5,"00-0029654","A.J. Jenkins",2012,0,1
"a t perry","A.T. Perry",2022,"WR",12,195,6,18,76,198,107,14,68,NA,NA,NA,NA,NA,NA,0.916666666666667,81.6666666666667,5.83333333333333,NA,NA,NA,68,NA,14,NA,"00-0038612","A.T. Perry",2023,7.575,8
"aaron burbridge","Aaron Burbridge",2015,"WR",13,213,6,38,72,206,134,16,62,NA,NA,NA,NA,NA,NA,0.538461538461538,93.7692307692308,6.15384615384615,0,9,1.5,56,13,15.2375,6,"00-0032441","Aaron Burbridge",2016,1.05333333333333,15
"aaron dobson","Aaron Dobson",2012,"WR",10,59,2,27,75,210,62,9,80,NA,NA,NA,NA,NA,NA,0.3,67.9,5.7,NA,NA,NA,40,NA,11.9122807017544,NA,"00-0030540","Aaron Dobson",2013,9.85,12
"ace sanders","Ace Sanders",2012,"WR",12,101,4,4,67,173,171,20,56,NA,NA,NA,NA,NA,NA,0.636363636363636,39.9090909090909,3.27272727272727,0,0.333333333333333,1,36,3,12.1944444444444,0.333333333333333,"00-0030550","Ace Sanders",2013,7.376,15
"adam humphries","Adam Humphries",2014,"WR",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14.6666666666667,2.08333333333333,0.25,1.25,1.25,25,6,7.04,1,"00-0032009","Adam Humphries",2015,5.36363636363636,11
"adonai mitchell","Adonai Mitchell",2023,"WR",13,52,2,20,74,205,29,6,88,0,0,1,NA,NA,NA,0.769230769230769,62.5384615384615,3.92307692307692,0,0.5,1,62,5,15.9411764705882,0.5,"00-0039890","Adonai Mitchell",2024,3.16235294117647,17
"ainias smith","Ainias Smith",2023,"WR",12,152,5,17,70,200,230,30,47,0,0,1.25,NA,NA,NA,0.166666666666667,66.25,4.41666666666667,0,5.25,1.25,42,11,15,4.2,"00-0039747","Ainias Smith",2024,5.9,3
"albert wilson","Albert Wilson",2013,"WR",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.727272727272727,107,6.45454545454545,0.125,31.375,3,75,80,16.5774647887324,10.4583333333333,"00-0030669","Albert Wilson",2014,4.2,10
