"player_id","season","games","sacks_suffered_pg","sack_yards_lost_pg","sack_fumbles_pg","sack_fumbles_lost_pg","carries_pg","rushing_yards_pg","rushing_tds_pg","rushing_fumbles_pg","rushing_fumbles_lost_pg","rushing_first_downs_pg","rushing_epa_pg","rushing_2pt_conversions_pg","receptions_pg","targets_pg","receiving_yards_pg","receiving_tds_pg","receiving_fumbles_pg","receiving_fumbles_lost_pg","receiving_air_yards_pg","receiving_yards_after_catch_pg","receiving_first_downs_pg","receiving_epa_pg","receiving_2pt_conversions_pg","racr_pg","target_share_pg","air_yards_share_pg","wopr_pg","fumble_recovery_own_pg","fumble_recovery_yards_own_pg","fumble_recovery_tds_pg","penalties_pg","penalty_yards_pg"
"00-0029892",2025,18,0,0,0,0,0.166666666666667,-0.333333333333333,0,0.0555555555555556,0,0,-2.433987363164,0,1.61111111111111,1.83333333333333,15.1666666666667,0.111111111111111,0,0,8,8.05555555555556,0.722222222222222,0.676305776451686,0,1.16337931747139,0.0586132906124779,0.0320492297699414,0.110354396757676,0,0,0,0,0
"00-0031687",2025,12,0,0,0,0,1.83333333333333,8.66666666666667,0,0,0,0.416666666666667,-1.13190568321576,0,1,1,5.83333333333333,0,0,0,-1.33333333333333,7.16666666666667,0.5,0.162297138879593,0,-2.29938271604938,0.0349182310637419,-0.00763091501047344,0.0470357060882814,0,0,0,0,0
"00-0032104",2025,13,0,0,0,0,1.07692307692308,4.61538461538461,0.0769230769230769,0,0,0.307692307692308,0.118497785610088,0,1.23076923076923,1.30769230769231,7.61538461538461,0,0,0,-0.230769230769231,8.07692307692308,0.307692307692308,0.0739771475306378,0,-0.512121212121212,0.0432754154020304,-0.00190222107219811,0.063581568352507,0,0,0,0,0
"00-0032764",2025,17,0,0,0,0,18.0588235294118,93.8235294117647,0.941176470588235,0.235294117647059,0.176470588235294,4.76470588235294,0.539186721778396,0,0.882352941176471,1.23529411764706,8.82352941176471,0,0,0,0.705882352941177,7.94117647058824,0.235294117647059,-0.221211754502012,0,2.66111111111111,0.0488049677341047,0.00237454398007297,0.0748696323872081,0,0,0,0.0588235294117647,0.647058823529412
"00-0032918",2025,8,0,0,0,0,0.375,0.625,0.25,0,0,0.25,0.598570023246187,0,0.25,0.25,1.375,0,0,0,0.25,1.125,0.125,0.37434266373748,0,-0.875,0.00729166666666666,-7.49778065692551e-05,0.0108850155354015,0,0,0,0,0
"00-0033280",2025,19,0,0,0,0,17.7368421052632,67.6315789473684,0.526315789473684,0.0526315789473684,0,4,-1.3665052990585,0,5.94736842105263,7.52631578947368,54.1578947368421,0.473684210526316,0.0526315789473684,0,20.8947368421053,41.3684210526316,2.89473684210526,2.5015360134534,0,5.47694431299694,0.234684630138645,0.0821816118403955,0.409554073496245,0.0526315789473684,0.0526315789473684,0,0,0
"00-0033293",2025,12,0,0,0,0,11,45.6666666666667,0.166666666666667,0,0,2.33333333333333,-0.197893354859051,0,2.33333333333333,3.41666666666667,16.5833333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,-2.08333333333333,18.9166666666667,0.75,-0.629227612041874,0,1.03571428571429,0.141377579333639,-0.0125454995526596,0.203284519313597,0.0833333333333333,0.0833333333333333,0,0,0
"00-0033376",2025,5,0,0,0,0,0.2,0.6,0,0,0,0.2,0.510267380392179,0,0.2,0.4,1.6,0,0,0,1.2,0.4,0,-0.247369871125557,0,1.33333333333333,0.017825311942959,0.00677966101694916,0.0314837306263029,0,0,0,0.2,1
"00-0033526",2025,15,0,0,0,0,5.6,25.4666666666667,0.2,0.2,0.133333333333333,2.13333333333333,-0.019160268411431,0,1.13333333333333,1.4,5.8,0,0,0,-2.13333333333333,7.26666666666667,0.333333333333333,-0.2357285805998,0,-0.281818181818182,0.0414043053501974,-0.00935150132194843,0.0555604070999322,0,0,0,0,0
"00-0033553",2025,3,0,0,0,0,10.6666666666667,31.6666666666667,0.333333333333333,0.333333333333333,0,2.33333333333333,-0.926514028280507,0,2.66666666666667,3,12.6666666666667,0.333333333333333,0,0,-3,22.6666666666667,1.33333333333333,0.744818267800534,0,0.722222222222222,0.098526031102096,-0.0188210468994622,0.13461431382352,0,0,0,0,0
"00-0033699",2025,2,0,0,0,0,7,21.5,0,0,0,1.5,-0.582673536322545,0,2.5,3.5,19,0,0,0,6,24.5,1,0.11484664837577,0,-2.03007518796993,0.101724137931035,0.0215053763440861,0.167639970337412,0,0,0,0.5,2.5
"00-0033854",2025,14,0,0,0,0,0.785714285714286,1.78571428571429,0.0714285714285714,0,0,0.0714285714285714,-0.610290942410301,0,0.714285714285714,0.928571428571429,5.42857142857143,0,0.0714285714285714,0.0714285714285714,1.71428571428571,4,0.214285714285714,-1.15338756609555,0,0.389460784313725,0.0305326078288696,0.0124153539847772,0.0544896595326484,0,0,0,0,0
"00-0033906",2025,11,0,0,0,0,11.9090909090909,42.8181818181818,0.0909090909090909,0.0909090909090909,0.0909090909090909,1.90909090909091,-2.61590660016694,0,3,3.54545454545455,16.9090909090909,0,0.0909090909090909,0.0909090909090909,3,18.3636363636364,0.636363636363636,-1.06106639353513,0,-0.743401335506599,0.116687098189954,0.00768276026679289,0.180408579471686,0,0,0,0,0
"00-0033923",2025,17,0,0,0,0,9.58823529411765,35.9411764705882,0.470588235294118,0.117647058823529,0.0588235294117647,3.29411764705882,0.568789611569303,0,1.05882352941176,1.47058823529412,8.41176470588235,0.0588235294117647,0,0,0,9,0.470588235294118,0.0989121219147034,0,-0.362004662004662,0.0438096832663762,-5.7924188762709e-05,0.0656739779674305,0.0588235294117647,0.0588235294117647,0,0.117647058823529,1.17647058823529
"00-0033955",2025,16,0,0,0,0,2.75,13.8125,0.0625,0.0625,0.0625,0.8125,0.0961613956829224,0.0625,1.5625,1.9375,12.25,0,0,0,-1.4375,13.875,0.625,-0.0881193391511904,0,-1.65763403263403,0.0781614965145249,-0.00609605300867961,0.112975007665711,0.0625,0.0625,0,0.1875,0.9375
"00-0034367",2025,4,0,0,0,0,0.5,-0.5,0,0,0,0,-1.51388250215678,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0
"00-0034681",2025,3,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0
"00-0034791",2025,17,0,0,0,0,8,33.4117647058824,0.176470588235294,0,0,1.47058823529412,-0.507480097779628,0,0.764705882352941,1.23529411764706,3.94117647058824,0,0,0,1.41176470588235,3.70588235294118,0.0588235294117647,-0.25188860396156,0,-0.0843253968253963,0.0362774012619622,0.00484762878380197,0.0578094420416048,0,0,0,0,0
"00-0034844",2025,17,0,0,0,0,18,73.2941176470588,0.411764705882353,0,0,3.29411764705882,-1.61413454261709,0.0588235294117647,2.35294117647059,3.29411764705882,17.5294117647059,0.117647058823529,0.0588235294117647,0.0588235294117647,1.88235294117647,19.0588235294118,0.705882352941177,-0.449632593216842,0,-0.0573579109062982,0.123824286304967,-0.00628202430767632,0.181339012442077,0.0588235294117647,0.0588235294117647,0,0.0588235294117647,0.235294117647059
"00-0034959",2025,11,0,0,0,0,0.0909090909090909,0.454545454545455,0,0,0,0.0909090909090909,1.30118140601553,0,0.545454545454545,0.818181818181818,4.09090909090909,0.181818181818182,0,0,3.45454545454545,1.81818181818182,0.363636363636364,-0.0321312111794088,0,1.38095238095238,0.0301576369758188,0.0155134829492597,0.05609589352821,0,0,0,0,0
"00-0034975",2025,10,0,0,0,0,1.8,9.3,0.2,0.1,0,0.4,-0.156789473927347,0,2.1,2.7,16.9,0.1,0,0,-0.6,18.4,0.6,0.0526871450274482,0,-0.419415266106444,0.100114825106244,-0.00643902636438815,0.145664919204294,0.1,0.1,0,0,0
"00-0035125",2025,9,0,0,0,0,0.222222222222222,1,0,0,0,0.111111111111111,0.225435642933008,0,0.888888888888889,1.22222222222222,5.77777777777778,0,0,0,4.55555555555556,5,0.444444444444444,-0.0464548719464805,0,1.34707270069112,0.0425639882804525,0.0201529737583391,0.077953064051516,0.111111111111111,0.111111111111111,0,0.111111111111111,0.555555555555556
