"player_id","season","player_display_name","games","sacks_suffered_pg","sack_yards_lost_pg","sack_fumbles_pg","sack_fumbles_lost_pg","carries_pg","rushing_yards_pg","rushing_tds_pg","rushing_fumbles_pg","rushing_fumbles_lost_pg","rushing_first_downs_pg","rushing_epa_pg","rushing_2pt_conversions_pg","receptions_pg","targets_pg","receiving_yards_pg","receiving_tds_pg","receiving_fumbles_pg","receiving_fumbles_lost_pg","receiving_air_yards_pg","receiving_yards_after_catch_pg","receiving_first_downs_pg","receiving_epa_pg","receiving_2pt_conversions_pg","racr_pg","target_share_pg","air_yards_share_pg","wopr_pg","fumble_recovery_own_pg","fumble_recovery_yards_own_pg","fumble_recovery_tds_pg","penalties_pg","penalty_yards_pg","target_season","target_fp_ppr","target_games"
"00-0000251",2004,"Mike Alstott",14,0,0,0,0,4.78571428571429,16.4285714285714,0.142857142857143,0.0714285714285714,0.0714285714285714,1.42857142857143,-0.778260811462783,0,2.07142857142857,0,14.4285714285714,0,0.0714285714285714,0.0714285714285714,0,0,0.785714285714286,0.365844218340385,0,0,NA,NA,NA,0,0,0,0,0,2005,6.61333333333333,15
"00-0000251",2005,"Mike Alstott",15,0,0,0,0,2.26666666666667,5.33333333333333,0.4,0,0,0.8,0.0778327819842332,0.0666666666666667,1.66666666666667,0,14.8,0.0666666666666667,0,0,0,0,0.733333333333333,1.01492460663985,0,0,NA,NA,NA,0,0,0,0.0666666666666667,0.466666666666667,2006,4.47142857142857,14
"00-0000552",2004,"Obafemi Ayanbadejo",13,0,0,0,0,2.30769230769231,9.38461538461539,0.230769230769231,0,0,0.692307692307692,0.174347962170145,0,1.46153846153846,0,13.1538461538462,0.0769230769230769,0.0769230769230769,0,0,0,0.769230769230769,1.2712924925482,0,0,NA,NA,NA,0,0,0,0.0769230769230769,0.384615384615385,2005,4.55,14
"00-0000552",2005,"Obafemi Ayanbadejo",14,0,0,0,0,1.57142857142857,3.28571428571429,0,0,0,0.285714285714286,-0.80300749210352,0.142857142857143,2.42857142857143,0,16.5,0,0.0714285714285714,0.0714285714285714,0,0,0.857142857142857,0.276572523419284,0,0,NA,NA,NA,0,0,0,0.0714285714285714,0.714285714285714,2006,2.66153846153846,13
"00-0000745",2004,"Tiki Barber",16,0,0,0,0,20.125,94.875,0.8125,0.3125,0.125,4.875,-0.0760219920463329,0,3.25,0,36.125,0.125,0,0,0,0,1.125,2.51056428169857,0,0,NA,NA,NA,0.125,0.125,0,0.0625,0.3125,2005,22.4375,16
"00-0000745",2005,"Tiki Barber",16,0,0,0,0,22.3125,116.25,0.5625,0.0625,0.0625,4.5,0.646386431420667,0.0625,3.375,0,33.125,0.125,0,0,0,0,1.25,2.70906291265419,0,0,NA,NA,NA,0.0625,0.0625,0,0,0,2006,18.66875,16
"00-0000942",2004,"Fred Beasley",9,0,0,0,0,1,1.66666666666667,0,0,0,0.444444444444444,-0.479637465649284,0,1.11111111111111,0,4.88888888888889,0,0,0,0,0,0.111111111111111,0.024407236254774,0,0,NA,NA,NA,0,0,0,0,0,2005,1.6,2
"00-0001215",2004,"Jerome Bettis",14,0,0,0,0,17.8571428571429,67.2142857142857,0.928571428571429,0.0714285714285714,0,3.64285714285714,-0.322576989276187,0,0.428571428571429,0,3.28571428571429,0,0,0,0,0,0.142857142857143,0.417500671569724,0,0,NA,NA,NA,0.0714285714285714,0.0714285714285714,0,0,0,2005,8.23333333333333,12
"00-0002159",2004,"Shawn Bryson",16,0,0,0,0,3.125,16.5,0,0,0,0.9375,0.16676704026135,0,2.75,0,20.125,0,0.0625,0.0625,0,0,0.75,0.286422570911754,0,0,NA,NA,NA,0,0,0,0.125,1.25,2005,6.25,16
"00-0002159",2005,"Shawn Bryson",16,0,0,0,0,4,19.125,0.0625,0,0,0.8125,-0.243066222974749,0,2.3125,0,17.75,0,0.0625,0.0625,0,0,0.6875,0.512479586118136,0,0,NA,NA,NA,0.0625,0.0625,0,0,0,2006,4.78,5
