"player_id","season","games","sacks_suffered_pg","sack_yards_lost_pg","sack_fumbles_pg","sack_fumbles_lost_pg","carries_pg","rushing_yards_pg","rushing_tds_pg","rushing_fumbles_pg","rushing_fumbles_lost_pg","rushing_first_downs_pg","rushing_epa_pg","rushing_2pt_conversions_pg","receptions_pg","targets_pg","receiving_yards_pg","receiving_tds_pg","receiving_fumbles_pg","receiving_fumbles_lost_pg","receiving_air_yards_pg","receiving_yards_after_catch_pg","receiving_first_downs_pg","receiving_epa_pg","receiving_2pt_conversions_pg","racr_pg","target_share_pg","air_yards_share_pg","wopr_pg","fumble_recovery_own_pg","fumble_recovery_yards_own_pg","fumble_recovery_tds_pg","penalties_pg","penalty_yards_pg"
"00-0024243",2025,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,2,15
"00-0030061",2025,13,0,0,0,0,0,0,0,0,0,0,NA,0,3.84615384615385,5.53846153846154,38.7692307692308,0.307692307692308,0.0769230769230769,0,50.4615384615385,9.46153846153846,2,0.90079199535436,0.0769230769230769,0.759275306824344,0.192887054963275,0.203086707067493,0.431491277392158,0,0,0,0.384615384615385,1.92307692307692
"00-0030506",2025,17,0,0,0,0,0.0588235294117647,0.0588235294117647,0,0,0,0.0588235294117647,-1.87519072403666,0,4.47058823529412,6.35294117647059,50.0588235294118,0.294117647058824,0.0588235294117647,0,43.2352941176471,24.9411764705882,2.70588235294118,2.37722080996755,0.0588235294117647,1.28322942379576,0.199956375278531,0.181058722639173,0.426675668765217,0,0,0,0.117647058823529,0.470588235294118
"00-0031484",2025,4,0,0,0,0,0,0,0,0,0,0,NA,0,0.25,0.5,1.75,0,0,0,2.75,1.5,0,-0.190260692121229,0,3.5,0.0161458333333333,0.01446723821188,0.034345816748316,0,0,0,0.25,2.5
"00-0031610",2025,9,0,0,0,0,0.111111111111111,0.444444444444444,0,0,0,0.111111111111111,0.367445847368799,0,2.66666666666667,3.77777777777778,31.4444444444444,0.666666666666667,0,0,39.8888888888889,8.11111111111111,2.11111111111111,3.53327937707764,0,0.728174298478292,0.146265078171772,0.220685641797816,0.373877566516129,0,0,0,0.111111111111111,0.555555555555556
"00-0032392",2025,16,0,0,0,0,0,0,0,0,0,0,NA,0,1.5,2.0625,17.9375,0.125,0,0,19.4375,6.25,1,0.720682600640428,0,1.02734223822379,0.0717240958003004,0.0712151365772346,0.157436739304515,0,0,0,0.125,1.5625
"00-0033090",2025,21,0,0,0,0,0,0,0,0,0,0,NA,0,3.28571428571429,4.85714285714286,41.9047619047619,0.380952380952381,0,0,40.1904761904762,17.6190476190476,2.19047619047619,2.03900368168069,0,1.59314255747958,0.166439949052063,0.146350804535046,0.352105486752627,0,0,0,0.142857142857143,0.952380952380952
"00-0033110",2025,13,0,0,0,0,0,0,0,0,0,0,NA,0,2.23076923076923,3.23076923076923,28.0769230769231,0.230769230769231,0,0,14.6923076923077,13.3846153846154,1.53846153846154,0.875808512560708,0,3.81937887513345,0.0962011169864038,0.0188550286675438,0.157500195546887,0,0,0,0.230769230769231,1.92307692307692
"00-0033217",2025,11,0,0,0,0,0,0,0,0,0,0,NA,0,1.18181818181818,1.81818181818182,10.6363636363636,0.0909090909090909,0,0,8.45454545454546,7,0.363636363636364,-0.078115435751071,0,2.02222222222222,0.056479718189699,0.0339944892035298,0.108515719727019,0,0,0,0.0909090909090909,0.909090909090909
"00-0033246",2025,12,0,0,0,0,0,0,0,0,0,0,NA,0,0.75,1.58333333333333,9.25,0,0,0,8.33333333333333,6.33333333333333,0.5,0.361383412975226,0,2.21188166247455,0.0513441023615056,0.0305592818144157,0.0984076508123495,0,0,0,0.25,1.66666666666667
