"player_id","season","player_display_name","games","sacks_suffered_pg","sack_yards_lost_pg","sack_fumbles_pg","sack_fumbles_lost_pg","carries_pg","rushing_yards_pg","rushing_tds_pg","rushing_fumbles_pg","rushing_fumbles_lost_pg","rushing_first_downs_pg","rushing_epa_pg","rushing_2pt_conversions_pg","receptions_pg","targets_pg","receiving_yards_pg","receiving_tds_pg","receiving_fumbles_pg","receiving_fumbles_lost_pg","receiving_air_yards_pg","receiving_yards_after_catch_pg","receiving_first_downs_pg","receiving_epa_pg","receiving_2pt_conversions_pg","racr_pg","target_share_pg","air_yards_share_pg","wopr_pg","fumble_recovery_own_pg","fumble_recovery_yards_own_pg","fumble_recovery_tds_pg","penalties_pg","penalty_yards_pg","target_season","target_fp_ppr","target_games"
"00-0000166",2004,"Stephen Alexander",15,0,0,0,0,0,0,0,0,0,0,NA,0,2.73333333333333,0,25.1333333333333,0.0666666666666667,0,0,0,0,1.4,1.71234967358555,0,0,NA,NA,NA,0,0,0,0.2,1,2005,2.93333333333333,15
"00-0000166",2005,"Stephen Alexander",15,0,0,0,0,0,0,0,0,0,0,NA,0,1.4,0,11.3333333333333,0.0666666666666667,0,0,0,0,0.6,0.887373568477746,0,0,NA,NA,NA,0,0,0,0.2,1.66666666666667,2006,4.6,10
"00-0000849",2004,"Mike Bartrum",3,0,0,0,0,0,0,0,0,0,0,NA,0,1.66666666666667,0,15,0.333333333333333,0.333333333333333,0,0,0,1,1.92952755461812,0,0,NA,NA,NA,0.333333333333333,0.333333333333333,0,0.333333333333333,5,2005,2.08571428571429,7
"00-0000849",2005,"Mike Bartrum",7,0,0,0,0,0,0,0,0,0,0,NA,0,0.285714285714286,0,0.857142857142857,0.285714285714286,0,0,0,0,0.285714285714286,1.60765133530367,0,0,NA,NA,NA,0,0,0,0.285714285714286,2.28571428571429,2006,0,4
"00-0001222",2004,"Eric Beverly",2,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,0,0,1,7.5,2005,0,3
"00-0001222",2005,"Eric Beverly",3,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,0,0,1,7.66666666666667,2006,0.25,4
"00-0001661",2004,"Kyle Brady",11,0,0,0,0,0,0,0,0,0,0,NA,0,1.27272727272727,0,9.36363636363636,0.0909090909090909,0,0,0,0,0.545454545454545,0.901082542272181,0,0,NA,NA,NA,0,0,0,0.272727272727273,1.81818181818182,2005,2.74615384615385,13
"00-0001661",2005,"Kyle Brady",13,0,0,0,0,0,0,0,0,0,0,NA,0,1.38461538461538,0,12.0769230769231,0.0769230769230769,0.230769230769231,0.153846153846154,0,0,0.538461538461538,0.514200483070454,0,0,NA,NA,NA,0.0769230769230769,0.0769230769230769,0,0.230769230769231,1.53846153846154,2006,0.621428571428571,14
"00-0001661",2006,"Kyle Brady",14,0,0,0,0,0,0,0,0,0,0,NA,0,0.357142857142857,0,2.64285714285714,0,0,0,0,1,0.142857142857143,0.390645345440136,0,0,NA,0,NA,0,0,0,0.357142857142857,2.14285714285714,2007,3.5,8
"00-0002102",2004,"Mark Bruener",8,0,0,0,0,0,0,0,0,0,0,NA,0,0.5,0,6.5,0,0,0,0,0,0.25,0.938119617159828,0,0,NA,NA,NA,0,0,0,0.5,3.75,2005,0.7,6
"00-0002102",2005,"Mark Bruener",6,0,0,0,0,0,0,0,0,0,0,NA,0,0.333333333333333,0,3.66666666666667,0,0,0,0,0,0.166666666666667,0.573664705618285,0,0,NA,NA,NA,0.333333333333333,0.333333333333333,0,0.5,4.16666666666667,2006,3.4,8
"00-0002102",2006,"Mark Bruener",8,0,0,0,0,0,0,0,0,0,0,NA,0,1.125,0,7.75,0.25,0,0,0,4,0.5,0.479141029034508,0,0,NA,0,NA,0,0,0,0.125,1.25,2007,0,2
"00-0002565",2004,"Dan Campbell",2,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,8,0,0,0,0,0,0.5,0.42333401425276,0,0,NA,NA,NA,0,0,0,0,0,2005,2.28,5
"00-0002565",2005,"Dan Campbell",5,0,0,0,0,0,0,0,0,0,0,NA,0,0.6,0,4.8,0.2,0,0,0,0,0.4,0.554799762347133,0,0,NA,NA,NA,0,0,0,0,0,2006,5.41428571428571,14
"00-0002565",2006,"Dan Campbell",14,0,0,0,0,0,0,0,0,0,0,NA,0,1.5,0,22,0.285714285714286,0,0,0,7.5,1.14285714285714,1.86135104728937,0,0,NA,0,NA,0,0,0,0.214285714285714,1.42857142857143,2007,1.1,1
"00-0002565",2007,"Dan Campbell",1,0,0,0,0,0,0,0,0,0,0,NA,0,1,0,1,0,0,0,0,0,0,-0.592115527251735,0,0,NA,0,NA,0,0,0,0,0,2008,3.1,1
"00-0002586",2004,"Mark Campbell",8,0,0,0,0,0,0,0,0,0,0,NA,0,2.125,0,25.375,0.625,0.125,0,0,0,1.375,3.23246185041665,0,0,NA,NA,NA,0,0,0,0.375,3.125,2005,2.99090909090909,11
"00-0002586",2005,"Mark Campbell",11,0,0,0,0,0,0,0,0,0,0,NA,0,1.72727272727273,0,12.6363636363636,0,0,0,0,0,0.454545454545455,0.580908905572463,0,0,NA,NA,NA,0,0,0,0.454545454545455,3.18181818181818,2006,3.12727272727273,11
"00-0003035",2004,"Desmond Clark",14,0,0,0,0,0,0,0,0,0,0,NA,0,1.71428571428571,0,20.1428571428571,0.0714285714285714,0.0714285714285714,0.0714285714285714,0,0,1,1.09457112421782,0,0,NA,NA,NA,0,0,0,0.214285714285714,1.07142857142857,2005,4.20714285714286,14
