"player_id","season","player_display_name","games","sacks_suffered_pg","sack_yards_lost_pg","sack_fumbles_pg","sack_fumbles_lost_pg","carries_pg","rushing_yards_pg","rushing_tds_pg","rushing_fumbles_pg","rushing_fumbles_lost_pg","rushing_first_downs_pg","rushing_epa_pg","rushing_2pt_conversions_pg","receptions_pg","targets_pg","receiving_yards_pg","receiving_tds_pg","receiving_fumbles_pg","receiving_fumbles_lost_pg","receiving_air_yards_pg","receiving_yards_after_catch_pg","receiving_first_downs_pg","receiving_epa_pg","receiving_2pt_conversions_pg","racr_pg","target_share_pg","air_yards_share_pg","wopr_pg","fumble_recovery_own_pg","fumble_recovery_yards_own_pg","fumble_recovery_tds_pg","penalties_pg","penalty_yards_pg"
"00-0030035",2025,"Adam Thielen",14,0,0,0,0,0,0,0,0,0,0,NA,0,1.35714285714286,2.5,13.2857142857143,0,0,0,21.8571428571429,3.14285714285714,0.714285714285714,0.369964488930635,0.0714285714285714,0.650380808259921,0.0768431767480456,0.084875136535482,0.174677360696906,0,0,0,0.0714285714285714,1.07142857142857
"00-0030279",2025,"Keenan Allen",17,0,0,0,0,0,0,0,0,0,0,NA,0,4.76470588235294,7.17647058823529,45.7058823529412,0.235294117647059,0.117647058823529,0,60.4117647058824,13.5882352941176,2.88235294117647,2.05414843756333,0,0.836300894252399,0.220610779487394,0.22783753749424,0.490402445477058,0.0588235294117647,0.0588235294117647,0,0,0
"00-0030564",2025,"DeAndre Hopkins",17,0,0,0,0,0,0,0,0,0,0,NA,0,1.29411764705882,2.29411764705882,19.4117647058824,0.117647058823529,0,0,30.1764705882353,3.82352941176471,0.882352941176471,0.555719357509394,0,0.803291374931213,0.0987957062191976,0.152987225019369,0.255284616842355,0,0,0,0,0
"00-0031236",2025,"Brandin Cooks",13,0,0,0,0,0,0,0,0,0,0,NA,0,1.84615384615385,2.76923076923077,21.4615384615385,0,0,0,39.6923076923077,3.30769230769231,1.07692307692308,1.23351828934792,0,0.79539479039479,0.0878884619734946,0.188273962517058,0.263624466722182,0,0,0,0,0
"00-0031381",2025,"Davante Adams",14,0,0,0,0,0,0,0,0,0,0,NA,0,4.28571428571429,8.14285714285714,56.3571428571429,1,0,0,103.142857142857,8.35714285714286,3.64285714285714,1.93096011997102,0,0.564232786808248,0.251454550874833,0.376375908219716,0.64064496206605,0,0,0,0,0
"00-0031408",2025,"Mike Evans",8,0,0,0,0,0,0,0,0,0,0,NA,0,3.75,7.75,46,0.375,0,0,103,4.625,2.875,0.658290620359351,0,0.50035820290445,0.243445881226054,0.347945044163035,0.608730352753205,0,0,0,0.375,3.75
"00-0031588",2025,"Stefon Diggs",17,0,0,0,0,0,0,0,0,0,0,NA,0,5,6,59.5882352941176,0.235294117647059,0,0,51.2352941176471,20.8235294117647,3,4.13943375815444,0,1.28246377415731,0.218640158118637,0.201526029873464,0.46902845808938,0,0,0,0.235294117647059,2.05882352941176
"00-0031763",2025,"DeAndre Carter",4,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0.25,0.25,0,0,0
"00-0032211",2025,"Tyler Lockett",17,0,0,0,0,0,0,0,0,0,0,NA,0,1.88235294117647,3.23529411764706,17.1176470588235,0.0588235294117647,0,0,25.0588235294118,4.64705882352941,0.823529411764706,-0.502693295959687,0,0.800664993844878,0.111066794834802,0.132912630499446,0.259639033601816,0,0,0.0588235294117647,0.0588235294117647,0.588235294117647
"00-0032385",2025,"Sterling Shepard",13,0,0,0,0,0.307692307692308,1.46153846153846,0,0,0,0.0769230769230769,0.0457291870989142,0,3,4.07692307692308,28.5384615384615,0.0769230769230769,0.0769230769230769,0.0769230769230769,34.8461538461538,11.4615384615385,1.38461538461538,-0.217435807742181,0,0.82851677168296,0.126787942225987,0.133650482482211,0.283737251076529,0,0,0,0.153846153846154,1.15384615384615
