player_id,season,games,overall,round,pick,height,weight,pre_draft_ranking,pre_draft_position_ranking,pre_draft_grade,completions_pg,attempts_pg,passing_yards_pg,passing_tds_pg,passing_interceptions_pg,carries_pg,rushing_yards_pg,rushing_tds_pg,fumble_recovery_own_pg,rushing_fumbles_lost_pg,rushing_fumbles_pg,target_fp_ppr,target_games,college_flag
00-0038658,2025,9,NA,NA,NA,NA,NA,NA,NA,NA,13.1111111111111,20.4444444444444,140.111111111111,0.666666666666667,0.111111111111111,12.1111111111111,68.3333333333333,1.11111111111111,0,0.25,1.25,-0.1,1,1
00-0038579,2023,12,135,4,33,75,213,192,10,49,26.5833333333333,41.4166666666667,290.083333333333,1.83333333333333,1.08333333333333,3.90909090909091,-7.36363636363636,0.0909090909090909,0,0.5,1.5,11.4381818181818,11,1
00-0031288,2015,12,164,5,24,75,220,60,5,78,17.25,25.5,223,2.16666666666667,0.416666666666667,2.66666666666667,2.33333333333333,0,0,0,0,8.08,8,1
00-0029668,2012,12,1,1,1,76,234,1,1,99,21.75,31.0833333333333,264.166666666667,2.91666666666667,0.75,3.58333333333333,12.75,0.166666666666667,0,0,0,16.9105882352941,17,1
00-0027973,2011,12,35,2,3,74,215,40,4,86,16.1666666666667,24.4166666666667,219.833333333333,2.16666666666667,0.5,6.41666666666667,33.9166666666667,0.416666666666667,0,0,0,12.5352941176471,17,1
00-0037175,2022,13,NA,NA,NA,NA,NA,NA,NA,NA,17.1538461538462,26.9230769230769,206.384615384615,1.15384615384615,0.461538461538462,10.9230769230769,49,0.692307692307692,0,1,1.33333333333333,2.79,2,1
00-0039164,2023,12,4,1,4,76,244,10,3,91,14.6666666666667,27.25,212.416666666667,1.41666666666667,0.75,8.58333333333333,54.5,0.75,0,0.666666666666667,1,18.17,4,1
00-0028957,2014,13,NA,NA,NA,NA,NA,NA,NA,NA,20.6153846153846,33.3846153846154,256.230769230769,2.15384615384615,0.846153846153846,7.76923076923077,25.5384615384615,0.307692307692308,0,0,0,11.96,9,1
00-0038108,2022,13,137,4,32,73,215,161,7,59,34,49.1538461538462,426.538461538462,4.30769230769231,0.846153846153846,3.76923076923077,1.69230769230769,0.230769230769231,0,0.5,1,9.91,4,1
00-0034855,2018,13,1,1,1,73,215,11,4,91,20.1538461538462,28.3846153846154,333.846153846154,3.15384615384615,0.384615384615385,6.53846153846154,23.8461538461538,0.384615384615385,0,0,1,17.15,14,1
00-0036384,2020,1,231,7,17,75,210,NA,NA,NA,13,20,156,0,1,14,36,0,0,0,0,3.48,2,1
00-0027948,2011,12,10,1,10,76,234,5,1,96,21.6666666666667,34.8333333333333,229.333333333333,1.25,0.583333333333333,8.25,19.9166666666667,0.333333333333333,0,0,0,7.75733333333333,15,1
00-0031407,2014,11,3,1,3,77,232,18,1,91,19.5454545454545,28.7272727272727,276.181818181818,2,0.636363636363636,6.27272727272727,13.4545454545455,0.272727272727273,0,0,0,12.0157142857143,14,1
00-0039732,2024,13,12,1,12,74,214,32,5,87,25.8461538461538,33.4615384615385,318.846153846154,3.07692307692308,0.230769230769231,4.41666666666667,19,0.5,0,0,0,18.4033333333333,18,1
00-0040398,2025,11,NA,NA,NA,NA,NA,NA,NA,NA,16.5454545454545,26.1818181818182,203.454545454545,0.818181818181818,0.181818181818182,6.63636363636364,15.3636363636364,0.454545454545455,0,0.5,1,5.692,5,1
00-0032434,2019,12,201,6,26,73,217,105,6,69,18.6666666666667,28.6666666666667,260.416666666667,2.41666666666667,0.583333333333333,4.5,9.66666666666667,0.0833333333333333,0,0,0,10.8333333333333,3,1
00-0029677,2012,12,22,1,22,76,221,48,5,86,31.5833333333333,43.5,360.666666666667,2.83333333333333,1,1.875,-11.875,0,0,0,0,11.04,15,1
00-0031589,2016,12,147,5,11,75,226,142,6,59,21.5833333333333,30.6666666666667,251.583333333333,1.75,0.416666666666667,12.3333333333333,45.6666666666667,0.666666666666667,0,0,0,-0.024,5,1
00-0034955,2020,13,NA,NA,NA,NA,NA,NA,NA,NA,23.1538461538462,34.3846153846154,285,2.30769230769231,0.538461538461538,6.38461538461539,1.76923076923077,0,0,0.75,1.75,5.65,2,1
00-0029682,2012,12,57,2,25,79,242,42,4,87,24.6666666666667,39.0833333333333,303.416666666667,2,1,6.25,10.6666666666667,0.25,0,0,0,-0.164,5,1
00-0037834,2022,12,262,7,41,73,212,361,14,31,22.4166666666667,30.6666666666667,248.666666666667,1.5,0.583333333333333,6.66666666666667,18.6666666666667,0.0833333333333333,0,0.5,1.25,12.4516666666667,12,1
00-0035939,2022,12,NA,NA,NA,NA,NA,NA,NA,NA,22.0833333333333,34.4166666666667,245.75,1.33333333333333,0.75,16.3333333333333,57.25,0.916666666666667,0,1,1.66666666666667,3.088,5,1
00-0031568,2016,10,103,4,4,75,230,81,3,73,20,33.7,289.3,2.5,0.5,7,13.1,0.4,0,0,0,5.37666666666667,6,1
00-0039150,2023,11,1,1,1,70,204,1,1,96,20.9090909090909,32.6363636363636,273.363636363636,2.45454545454545,0.454545454545455,4.18181818181818,17.7272727272727,0.363636363636364,0,0,1,9.77375,16,1
00-0033936,2017,12,104,3,40,75,219,156,9,59,13.5833333333333,23.1666666666667,156.166666666667,1.41666666666667,0.583333333333333,6.58333333333333,-2,0.166666666666667,0,0,1,14.8,6,1
00-0039163,2023,12,2,1,2,75,214,5,2,94,19.5833333333333,29.5833333333333,278.333333333333,3.08333333333333,0.5,3.18181818181818,6.72727272727273,0,0,0.5,1,18.0576470588235,17,1
00-0039918,2024,11,1,1,1,73,214,1,1,97,22.1666666666667,32.3333333333333,302.75,2.5,0.416666666666667,8.25,9.58333333333333,0.916666666666667,0,0.428571428571429,1.28571428571429,14.9729411764706,17,1
00-0033098,2016,10,139,4,41,77,253,235,13,47,11,17.6,146,0.8,0.5,6.4,19.3,0.2,0,0,0,1.74,1,1
00-0032950,2016,1,NA,NA,NA,NA,NA,NA,NA,NA,18,28,204,0,0,8,38,0,0,0,0,13.37375,16,1
