player_id,player_display_name,season,games,overall,round,pick,height,weight,pre_draft_ranking,pre_draft_position_ranking,pre_draft_grade,carries_pg,rushing_yards_pg,rushing_tds_pg,receptions_pg,receiving_yards_pg,receiving_tds_pg,fumble_recovery_own_pg,rushing_fumbles_lost_pg,rushing_fumbles_pg,target_fp_ppr,target_games,college_flag
00-0027713,Aaron Hernandez,2010,12,113,4,15,74,245,85,5,73,1,16,0,4.91666666666667,61.5833333333333,0.333333333333333,0,0,0,9.56,15,1
00-0029281,Adrien Robinson,2014,8,127,4,32,76,267,196,7,47,0,0,0,1,20.875,0.375,0,0,0,1.77777777777778,9,1
00-0032745,Alan Cross,2016,9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.66666666666667,25.4444444444444,0.333333333333333,0,0,0,1.43636363636364,11,1
00-0036423,Albert Okwuegbunam,2020,9,118,4,12,78,258,97,6,70,0,0,0,2.88888888888889,34,0.666666666666667,0,0,0,7.275,4,1
00-0030975,Alex Bayer,2014,12,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.25,34.3333333333333,0.166666666666667,0,0,0,0,1,1
00-0032864,Alex Ellis,2016,4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.25,10.75,0,0,0,0,0.82,5,1
00-0028267,Allen Reisner,2011,12,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3.25,34.1666666666667,0.166666666666667,0,0,0,0.75,2,1
00-0027753,Andrew Quarless,2010,12,154,5,23,76,254,NA,12,57,0,0,0,2.75,37.3333333333333,0.25,0,0,0,3.65,16,1
00-0027783,Anthony McCoy,2010,10,185,6,16,77,259,68,4,77,1,2,0,2.2,45.7,0.1,0,0,0,0,2,1
00-0030832,Asante Cleveland,2014,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.5,11.5,0.5,0,0,0,0,1,1
00-0032392,Austin Hooper,2016,11,81,3,18,76,254,62,3,79,0,0,0,2.81818181818182,37.7272727272727,0.545454545454545,0,0,0,5.1625,16,1
