player_id,player_display_name,season,games,overall,round,pick,height,weight,pre_draft_ranking,pre_draft_position_ranking,pre_draft_grade,carries_pg,rushing_yards_pg,rushing_tds_pg,receptions_pg,receiving_yards_pg,receiving_tds_pg,fumble_recovery_own_pg,rushing_fumbles_lost_pg,rushing_fumbles_pg,target_fp_ppr,target_games,college_flag
00-0035676,A.J. Brown,2018,12,51,2,19,73,226,45,5,85,0,0,0,7.08333333333333,112.916666666667,0.5,0,0,1,12.0736842105263,19,1
00-0029654,A.J. Jenkins,2011,12,30,1,30,72,190,62,7,82,2,5,0,7,99.6666666666667,0.583333333333333,0,0,0,0,1,1
00-0038612,A.T. Perry,2022,12,195,6,18,76,198,107,14,68,0,0,0,5.83333333333333,81.6666666666667,0.916666666666667,0,0,0,7.575,8,1
00-0032441,Aaron Burbridge,2015,13,213,6,38,72,206,134,16,62,1.5,9,0,6.15384615384615,93.7692307692308,0.538461538461538,0,0,0,1.05333333333333,15,1
00-0030540,Aaron Dobson,2012,10,59,2,27,75,210,62,9,80,0,0,0,5.7,67.9,0.3,0,0,0,9.85,12,1
00-0030550,Ace Sanders,2012,12,101,4,4,67,173,171,20,56,1,0.333333333333333,0,3.27272727272727,39.9090909090909,0.636363636363636,0,0,0,7.376,15,1
00-0032009,Adam Humphries,2014,12,NA,NA,NA,NA,NA,NA,NA,NA,1.25,1.25,0.25,2.08333333333333,14.6666666666667,0,0,0,0,5.36363636363636,11,1
00-0039890,Adonai Mitchell,2023,13,52,2,20,74,205,29,6,88,1,0.5,0,3.92307692307692,62.5384615384615,0.769230769230769,0,0,1,3.16235294117647,17,1
00-0039747,Ainias Smith,2023,12,152,5,17,70,200,230,30,47,1.25,5.25,0,4.41666666666667,66.25,0.166666666666667,0,0,1.25,5.9,3,1
00-0030669,Albert Wilson,2013,12,NA,NA,NA,NA,NA,NA,NA,NA,3,31.375,0.125,6.45454545454545,107,0.727272727272727,0,0,0,4.2,10,1
00-0028116,Aldrick Robinson,2010,13,178,6,13,70,184,166,20,57,0,0,0,4.61538461538461,94.2307692307692,1,0,0,0,6.01111111111111,9,1
00-0037664,Alec Pierce,2021,13,53,2,21,75,211,61,11,82,0,0,0,3.84615384615385,66.6923076923077,0.615384615384615,0,0,0,7.01875,16,1
00-0035602,Alex Bachman,2018,10,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,37,0.6,0,0,0,-0.15,2,1
00-0032543,Alex Erickson,2015,12,NA,NA,NA,NA,NA,NA,NA,NA,1.75,27.75,0,6,77,0.25,0,0,0,0.81875,16,1
00-0030821,Allen Hurns,2013,12,NA,NA,NA,NA,NA,NA,NA,NA,1,13,0,5,94.8333333333333,0.5,0,0,0,9.66875,16,1
00-0034521,Allen Lazard,2017,12,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,5.08333333333333,66.5833333333333,0.75,0,0,0,1.7,1,1
00-0031428,Allen Robinson,2013,12,61,2,29,75,220,62,11,78,1,6,0,8.08333333333333,119.333333333333,0.5,0,0,0,11.68,10,1
00-0029137,Alshon Jeffery,2011,12,45,2,13,75,216,59,6,83,0,0,0,3.75,51.1666666666667,0.583333333333333,0,0,0,7.87,10,1
00-0033937,Amara Darboh,2016,12,106,3,42,74,214,112,14,71,0,0,0,4.33333333333333,68.8333333333333,0.583333333333333,0,0,0,1.8875,8,1
00-0031544,Amari Cooper,2014,12,4,1,4,73,211,3,1,94,1,3.5,0,8.58333333333333,131.083333333333,1.16666666666667,0,0,0,13.29375,16,1
00-0036991,Amari Rodgers,2020,10,85,3,22,70,212,86,14,74,0,0,0,6.1,84.5,0.6,0,0.5,1,0.564705882352941,17,1
00-0036963,Amon-Ra St. Brown,2020,4,112,4,7,72,197,133,21,66,0,0,0,6.5,82.75,1,0,0,0,14.20625,16,1
00-0035876,Andre Baccellia,2019,10,NA,NA,NA,NA,NA,NA,NA,NA,0.8,7,0.2,2.88888888888889,31.1111111111111,0.333333333333333,0,0,0,2.3,5,1
00-0021175,Andre Davis,2015,7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.71428571428571,23.7142857142857,0,0,0,0,11.55,6,1
00-0022044,Andre Johnson,2024,6,3,1,3,NA,230,NA,NA,NA,0,0,0,1,18.8333333333333,0,0,0,0,14.275,16,1
00-0033705,Andre Patton,2016,10,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3.66666666666667,51.1111111111111,0.555555555555556,0,1,1,1.45,8,1
00-0038619,Andrei Iosivas,2022,10,206,6,29,75,205,216,28,46,1.33333333333333,3.33333333333333,0,6.6,94.3,0.7,0,0,1,4.6,11,1
00-0032045,Andrew Turzilli,2014,7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.28571428571429,44.7142857142857,0.428571428571429,0,0,0,4.5,1,1
00-0035527,Andy Isabella,2018,11,62,2,30,69,188,110,15,70,1.57142857142857,11.2857142857143,0.142857142857143,8.41666666666667,141.416666666667,1.08333333333333,0,1,1,2.95,12,1
00-0039816,Anthony Gould,2023,11,142,5,7,68,174,189,25,53,1.33333333333333,7.33333333333333,0,4,65.2727272727273,0.181818181818182,0,1,2,0.4125,8,1
00-0034353,Anthony Miller,2017,12,51,2,19,71,201,46,5,84,1.8,5.4,0,7.66666666666667,117.25,1.41666666666667,0,0.5,1,7.91375,16,1
00-0036999,Anthony Schwartz,2020,9,91,3,28,72,186,72,11,76,1,-1.5,0,5.44444444444444,68.8888888888889,0.333333333333333,0,0,1,2.56923076923077,13,1
00-0038627,Antoine Green,2022,9,219,7,2,74,199,118,15,65,0,0,0,4.77777777777778,88.6666666666667,0.777777777777778,0,0,0,0.6,2,1
00-0035126,Antoine Wesley,2018,12,NA,NA,NA,NA,NA,NA,NA,NA,1,-2,0,7.33333333333333,117.5,0.75,0,0,0,6.64444444444444,9,1
00-0034772,Antonio Callaway,2016,11,105,4,5,71,200,119,15,68,1.33333333333333,8.66666666666667,0.333333333333333,4.27272727272727,60.5454545454545,0.272727272727273,0,0.25,1,8.26875,16,1
00-0036340,Antonio Gandy-Golden,2019,12,142,4,36,76,223,83,14,73,0,0,0,6.16666666666667,111.083333333333,0.75,0,0,0,0.875,4,1
00-0033916,ArDarius Stewart,2016,10,79,3,15,71,204,87,9,74,1.25,8.25,0,5.2,85.2,0.8,0,1,1,1.40833333333333,12,1
00-0040582,Arian Smith,2024,12,110,4,8,72,179,257,29,41,1,10.25,0,3.5,59.0833333333333,0.333333333333333,0,0,1,1.03846153846154,13,1
00-0028400,Armon Binns,2010,12,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,6.25,91.75,0.833333333333333,0,0,0,6.18888888888889,9,1
00-0027654,Arrelious Benn,2009,11,39,2,7,73,219,39,3,88,1,3.28571428571429,0.142857142857143,3.45454545454545,44.5454545454545,0.181818181818182,0,0,0,5.71428571428571,14,1
00-0034686,Auden Tate,2017,11,253,7,35,77,228,192,23,55,0,0,0,3.18181818181818,42.1818181818182,0.636363636363636,0,0,0,1.5,5,1
00-0033382,Austin Carr,2016,12,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,7,99.6666666666667,1,0,0,0,3.22,10,1
00-0035869,Austin Mack,2019,8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.5,34.125,0.375,0,0,0,3.22,5,1
00-0028016,Austin Pettis,2010,12,78,3,14,75,209,111,14,70,0,0,0,4.91666666666667,67,0.75,0,0,0,4.33333333333333,12,1
